emotion,url
comfortable,https://music.yandex.ru/users/music.partners/playlists/1433
comfortable,https://music.yandex.ru/users/music.partners/playlists/1863
comfortable,https://music.yandex.ru/users/that-feeling/playlists/1021
comfortable,https://music.yandex.ru/users/elizawetavorobjewa/playlists/1000
comfortable,https://music.yandex.ru/users/poletaevaekaterinaa/playlists/1002
comfortable,https://music.yandex.ru/users/nikolaibabajanov/playlists/1004
comfortable,https://music.yandex.ru/users/sytova.maria/playlists/1000
comfortable,https://music.yandex.ru/users/kosmetistamusic/playlists/1012
comfortable,https://music.yandex.ru/users/saygitdinova/playlists/1024
comfortable,https://music.yandex.ru/users/tsvetkoff-nsk/playlists/1033
comfortable,https://music.yandex.ru/users/catjeesbit4/playlists/1002
comfortable,https://music.yandex.ru/users/pvyazmina99/playlists/1002
comfortable,https://music.yandex.ru/users/o.a.dyagileva-toloka/playlists/1000
happy,https://music.yandex.ru/users/music.partners/playlists/1102
happy,https://music.yandex.ru/users/music.partners/playlists/1524
happy,https://music.yandex.ru/users/jazwfa/playlists/1000
happy,https://music.yandex.ru/users/schischenia2011/playlists/1000
happy,https://music.yandex.ru/users/Masha.Fursova14/playlists/1000
happy,https://music.yandex.ru/users/anastasyazvyagintseva/playlists/1000
happy,https://music.yandex.ru/users/martin2many/playlists/1000
happy,https://music.yandex.ru/users/mila-krauzova/playlists/1000
happy,https://music.yandex.ru/users/amani359/playlists/1000
happy,https://music.yandex.ru/users/Julia913/playlists/1000
happy,https://music.yandex.ru/users/ya.nastianya/playlists/1000
happy,https://music.yandex.ru/users/Alina.pumma/playlists/1000
happy,https://music.yandex.ru/users/Pain-kanon/playlists/1000
happy,https://music.yandex.ru/users/shag.nb/playlists/1000
happy,https://music.yandex.ru/users/a.abish1997/playlists/1000
happy,https://music.yandex.ru/users/im3m3r/playlists/1000
happy,https://music.yandex.ru/users/tihonsmutin/playlists/1000
happy,https://music.yandex.ru/users/diaryfoks/playlists/1000
happy,https://music.yandex.ru/users/uid-5n75bxbo/playlists/1000
happy,https://music.yandex.ru/users/sheinYurka/playlists/1000
inspirational,https://music.yandex.ru/users/habr.com/playlists/1002
inspirational,https://music.yandex.ru/users/musicspin/playlists/1009
inspirational,https://music.yandex.ru/users/music.partners/playlists/2014
inspirational,https://music.yandex.ru/users/ya.musicpop/playlists/1003
inspirational,https://music.yandex.ru/users/gulivan/playlists/1005
inspirational,https://music.yandex.ru/users/madam.verber/playlists/1001
inspirational,https://music.yandex.ru/users/shavaliev.ilnur/playlists/1010
inspirational,https://music.yandex.ru/users/lisandrmk03/playlists/1003
inspirational,https://music.yandex.ru/users/uid-uqhn4qav/playlists/1000
inspirational,https://music.yandex.ru/users/zerleskus/playlists/1008
inspirational,https://music.yandex.ru/users/polinadodina/playlists/1000
inspirational,https://music.yandex.ru/users/pak.kate2017/playlists/1000
inspirational,https://music.yandex.ru/users/wvvwprv/playlists/1005
inspirational,https://music.yandex.ru/users/skylark83/playlists/1038
inspirational,https://music.yandex.ru/users/cat.iria/playlists/1001
inspirational,https://music.yandex.ru/users/info@nezderoff.com/playlists/1007
inspirational,https://music.yandex.ru/users/Hempmaster/playlists/1003
inspirational,https://music.yandex.ru/users/ifsmeet/playlists/1005
inspirational,https://music.yandex.ru/users/gap-alena/playlists/1000
inspirational,https://music.yandex.ru/users/abstrakt.dim/playlists/1005
joy,https://music.yandex.ru/users/ya.playlist/playlists/1262
joy,https://music.yandex.ru/users/music-israel/playlists/1099
joy,https://music.yandex.ru/users/ya.playlist/playlists/1083
joy,https://music.yandex.ru/users/postbox73501505/playlists/1006
joy,https://music.yandex.ru/users/annabalbarova/playlists/1000
joy,https://music.yandex.ru/users/projectdreamjoy/playlists/1000
joy,https://music.yandex.ru/users/denis.bryukhanov@patternmasters.ru/playlists/1001
joy,https://music.yandex.ru/users/Vkhdk/playlists/1001
joy,https://music.yandex.ru/users/Mamarinarisuet/playlists/1010
joy,https://music.yandex.ru/users/DJVladLI/playlists/1043
joy,https://music.yandex.ru/users/uid-hinwwspe/playlists/1003
joy,https://music.yandex.ru/users/aigiulk/playlists/1002
joy,https://music.yandex.ru/users/IliaLukanin/playlists/1004
joy,https://music.yandex.ru/users/ianatantsyura/playlists/1009
joy,https://music.yandex.ru/users/anastasia.marina.87/playlists/1012
joy,https://music.yandex.ru/users/uid-y2edcbrj/playlists/1010
lonely,https://music.yandex.ru/users/music.partners/playlists/1530
lonely,https://music.yandex.ru/users/that-feeling/playlists/1024
lonely,https://music.yandex.ru/users/that-feeling/playlists/1019
lonely,https://music.yandex.ru/users/Akuniwatori/playlists/1005
lonely,https://music.yandex.ru/users/gimadeeva.dalia/playlists/1038
lonely,https://music.yandex.ru/users/gimadeeva.dalia/playlists/1038
lonely,https://music.yandex.ru/users/missnata1991/playlists/1006
lonely,https://music.yandex.ru/users/weallcss/playlists/1004
lonely,https://music.yandex.ru/users/y0ung.wolf/playlists/1004
lonely,https://music.yandex.ru/users/al.crossfire/playlists/1001
